individual_name,bundle_name,type,topic,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
py_display_time1,py_time_conversion,PCEX Example,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Assign,Mod,Constant,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType","input and output operations,variable manipulation,arithmetic operatons,type conversion,string operations"
py_display_time2,py_time_conversion,PCEX Challenge,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,Modulus","TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Assign,Mod,Constant,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","function call,input and output operations,variable manipulation,arithmetic operatons,type conversion,string operations"
py_celsius_to_fahrenheit,py_f_to_c_conversion,PCEX Example,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,Addition,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Assign,Constant,Mult,Add,Call,Div","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,int,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Printing,Python,TransformingToFloatType,TransformingToIntType,TransformingToStringType","input and output operations,variable manipulation,arithmetic operatons,numerical types,type conversion"
py_fahrenheit_to_celsius,py_f_to_c_conversion,PCEX Challenge,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division,CreatingString,Substraction","Assign,Constant,Sub,Mult,Call,Div","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToFloatType,TransformingToIntType,TransformingToStringType","input and output operations,variable manipulation,arithmetic operatons,type conversion,programming syntax elements"
py_bmi_calculator1,py_bmi_calculator,PCEX Example,Variables and Operations,"print,input,float,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral","TransformingToFloatType,Multiplication,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Power,Division","Assign,Pow,Constant,Mult,Call,Div","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Power,Printing,Python,TransformingToFloatType,TransformingToStringType","number formatting,function call,input and output operations,variable manipulation,arithmetic operatons,numerical types"
py_bmi_calculator2,py_bmi_calculator,PCEX Challenge,Variables and Operations,"round,print,IntegerLiteral,float,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToFloatType,Multiplication,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Power,Division,Round","Assign,Pow,Constant,Mult,Call,Div","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print,round","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Power,Printing,Python,Round,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable","number formatting,function call,input and output operations,variable manipulation,arithmetic operatons,numerical types"
py_vending_machine1,py_vending_machine,PCEX Example,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Division,Substraction","Assign,Mod,Constant,Sub,Mult,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToIntType,UpdatingVariable","input and output operations,type conversion,variable manipulation,arithmetic operatons"
py_vending_machine2,py_vending_machine,PCEX Challenge,Variables and Operations,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,Modulus","Multiplication,TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Division,Substraction","Assign,Mod,Constant,Sub,Mult,Call,FloorDiv","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operatons,data structure utilization"
py_ifelse_num_sign1,py_if_else_num,PCEX Example,If-Else,"print,IfElifElseStatement,Less,int,input,Larger,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,IntegerLiteral","TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking","Gt,Assign,Constant,If,Lt,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IntegerLiteral,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,IfElifChecking,IfElifElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType","function call,variable manipulation,arithmetic operatons,Conditional Branching Structures,numerical types,comparison operation"
py_ifelse_odd_even,py_if_else_num,PCEX Challenge,If-Else,"print,IntegerLiteral,int,input,IfElseStatement,ComparisonExpression,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToIntType,FindRemainder,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing","Assign,Mod,Constant,Eq,If,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,FindRemainder,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,TransformingToIntType","input and output operations,arithmetic operatons,Conditional Branching Structures,type conversion,comparison operation"
