exercise	original_topic	assigned_topic
ps_hello	1	1
ps_python_addition	1	1
ps_python_swap	1	1
ae_adl_hello	1	1
ae_adl_variables	1	1
ae_adl_simple_arithmetics	1	1
ae_adl_swap	1	1
py_time_conversion	1	1
py_bmi_calculator	1	1
py_pythagorean_theorem	1	2
py_f_to_c_conversion	1	1
py_vending_machine	1	1
q_py_topic_variables:q_py_arithmetic1	1	1
q_py_topic_variables:q_py_arithmetic2	1	1
q_py_topic_variables:q_py_exchange1	1	1
q_py_topic_variables:q_py_exchange2	1	1
q_py_topic_variables:q_py_swap1	1	1
py_display_time2	1	1
py_bmi_calculator2	1	-1
py_pythagorean_theorem2	1	1
py_fahrenheit_to_celsius	1	1
py_vending_machine2	1	1
ps_python_conditionals_temperature	2	2
ps_python_nested_ifs	2	7
ae_adl_hiscore1	2	2
ae_adl_hiscore2	2	2
ae_adl_ifelse	2	2
ae_adl_ifelifelse	2	2
ae_adl_nested_if	2	2
py_nested_if_min_max	2	2
py_nested_if_temperature	2	2
py_if_else_grade	2	2
py_if_else_num	2	2
py_if_else_wage	2	2
q_py_topic_if_statement:q_py_if_elif1	2	2
q_py_topic_if_statement:q_py_nested_if1	2	10
q_py_topic_if_statement:q_py_nested_if_elif1	2	2
py_nested_if_max_of_three	2	2
py_nested_if_temperature2	2	2
py_ifelseif_grade2	2	2
py_ifelse_odd_even	2	2
py_if_else_wage2	2	4
ps_python_bigger_than	3	2
ps_python_comparisons	3	3
ps_python_xor	3	3
ae_adl_comparison	3	3
ae_adl_logic	3	3
q_py_topic_logical_operators:q_py_account_logic1	3	3
q_py_topic_logical_operators:q_py_comparison_logic1	3	3
py_phone_age	3	3
py_fail_course	3	3
py_rent_car	3	3
py_three_boolean	3	3
py_boolean_dry_hot	3	3
py_three_boolean2	3	3
py_boolean_dry_hot2	3	3
py_fail_course3	3	3
py_rent_car3	3	3
py_three_boolean3	3	3
py_boolean_dry_hot3	3	3
py_boolean_dry_hot4	3	3
py_fail_course2	3	3
py_phone_age2	3	3
py_rent_car2	3	3
ps_python_iteration_addition	4	4
ps_python_iteration_multiplication	4	4
ae_adl_while	4	4
py_divisor	4	4
py_input	4	4
py_check_adjacent	4	4
py_win_percentage	4	4
py_find_average	4	4
py_digits	4	4
q_py_topic_loops:q_py_while_loop1	4	4
q_py_topic_loops:q_py_while_loop2	4	4
py_largest_divisor	4	4
py_input2	4	4
py_adjacent_consecutive	4	4
py_win_percentage_input	4	4
py_average_even_nums	4	4
py_sum_digits	4	4
py_input3	4	4
py_adjacent_greater	4	4
py_win_percentage_won_equal	4	4
py_average_float	4	4
py_reverse_number	4	4
py_input4	4	4
ps_python_for_odd_or_even	5	5
ae_adl_for	5	5
py_range_one	5	5
py_range_three	5	5
py_range_two	5	5
py_squares	5	5
q_py_topic_loops:q_py_for_loop1	5	5
py_range1_2	5	5
py_range3_2	5	5
