topic,activity,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
1,ps_hello,"FunctionCall,StringLiteral,print,ExpressionStatement","Printing,CallingLibraryFunction","Call,Str","BuiltInFunction,Call,ExpressionStatement,FunctionCall,Literal,Statement,StringLiteral,print","CallingFunctionLibrary,CallingStandardFunction,HandlingFunction,HandlingStandardFunction,Printing,Python","string operations,function call"
1,ps_python_addition,"FunctionCall,IntegerLiteral,print,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,Printing","Int,Add,Call,Assign","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFunction,HandlingStandardFunction,ManagingVariable,Printing,Python,UpdatingVariable","function call,numerical types,variable manipulation,arithmetic operations"
1,ps_python_swap,"SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","SwappingValueVariables,AssigningValueVariable",Assign,"AssignmentStatement,ExpressionStatement,Operator,SimpleAssignmentStatement,Statement","AssigningVariable,ManagingVariable,SwappingVariablesValue,UpdatingVariable","string operations,variable manipulation,function call,numerical types"
1,ae_adl_hello,"FunctionCall,StringLiteral,print,ExpressionStatement","CreatingString,Printing,CallingLibraryFunction","Call,Str","BuiltInFunction,Call,ExpressionStatement,FunctionCall,Literal,Statement,StringLiteral,print","CallingFunctionLibrary,HandlingFunction,Printing,Python","function call,string operations"
1,ae_adl_variables,"print,IntegerLiteral,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","Addition,AssigningValueVariable,CallingLibraryFunction,ChangingValueVariable,Printing,CreatingString","Add,Str,Assign,Call,Int","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFunction,HandlingStandardFunction,ManagingVariable,Printing,Python,UpdatingVariable","assignment patterns,value update and accumulation,arithmetic operatons,variable manipulation,function call,numerical types"
1,ae_adl_simple_arithmetics,"IntegerLiteral,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,print","Multiplication,Addition,AssigningValueVariable,CallingLibraryFunction,Printing,CreatingString","Str,Assign,Int,Add,Call,Mult","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,HandlingFunction,ManagingVariable,Multiplication,Printing,Python","assignment patterns,arithmetic operatons,variable manipulation,function call,numerical types"
1,ae_adl_swap,"print,IntegerLiteral,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","SwappingValueVariables,AssigningValueVariable,Printing,CallingLibraryFunction,CreatingString","Int,Call,Str,Assign","AssignmentStatement,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFunction,HandlingStandardFunction,ManagingVariable,Printing,Python,SwappingVariablesValue","input and output operations,assignment patterns,variable manipulation,numerical types"
1,py_time_conversion,"print,IntegerLiteral,int,input,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Int,FloorDiv,Call,Str,Assign,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType","input and output operations,variable manipulation,arithmetic operations,type conversion,string operations"
1,py_bmi_calculator,"print,input,float,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral","TransformingToFloatType,Multiplication,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Power,Division","Int,Pow,Call,Str,Div,Assign,Mult","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Power,Printing,Python,TransformingToFloatType,TransformingToStringType","number formatting,function call,input and output operations,variable manipulation,arithmetic operations,numerical types"
1,py_pythagorean_theorem,"FloatLiteral,print,IntegerLiteral,float,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,UnaryOperation","TransformingToFloatType,Addition,HandlingInput,AssigningValueVariable,CallingLibraryFunction,Printing,Power","Sub,Int,Pow,Float,Add,Call,Str,Assign","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,float,input,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,ManagingVariable,Power,Printing,Python,ReadingLine,TransformingToFloatType,TransformingToStringType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operations,mathematical functions,type conversion"
